부재ID,유형,층,구역,X(mm),Y(mm),Z_bot(mm),Z_top(mm),단면,길이(mm),각도(°),높이(mm),체적(m³),면적(m²),레이어
BM-B2F-0062,BEAM,B2F,DONG,173160.1,2274228.8,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0063,BEAM,B2F,DONG,174345.7,2279291.0,-9050.0,-5600.0,,8250.0,104.0,3450.0,1.32,0.0,S-GIRDER
BM-B2F-0064,BEAM,B2F,DONG,122730.7,2245217.1,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0065,BEAM,B2F,DONG,122808.2,2244721.1,-9050.0,-5600.0,,4860.4,14.0,3450.0,0.778,0.0,S-GIRDER
BM-B2F-0066,BEAM,B2F,DONG,120759.1,2253125.0,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0067,BEAM,B2F,DONG,120880.0,2252639.9,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0068,BEAM,B2F,DONG,118751.1,2261178.4,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0069,BEAM,B2F,DONG,118872.1,2260693.3,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0070,BEAM,B2F,DONG,116634.3,2269668.5,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0071,BEAM,B2F,DONG,116755.3,2269183.4,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0072,BEAM,B2F,DONG,111400.0,2274031.8,-9050.0,-5600.0,,2096.6,14.0,3450.0,0.335,0.0,S-GIRDER
BM-B2F-0073,BEAM,B2F,DONG,111460.4,2273531.6,-9050.0,-5600.0,,2221.2,14.0,3450.0,0.355,0.0,S-GIRDER
BM-B2F-0074,BEAM,B2F,DONG,113876.4,2280729.9,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0075,BEAM,B2F,DONG,113997.4,2280244.7,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0076,BEAM,B2F,DONG,115652.5,2289623.8,-9050.0,-5600.0,,12700.0,14.0,3450.0,2.032,0.0,S-GIRDER
BM-B2F-0077,BEAM,B2F,DONG,112013.6,2288201.2,-9050.0,-5600.0,,4950.0,14.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0078,BEAM,B2F,DONG,129110.4,2246807.7,-9050.0,-5600.0,,7200.0,14.0,3450.0,1.152,0.0,S-GIRDER
BM-B2F-0079,BEAM,B2F,DONG,129230.5,2246322.3,-9050.0,-5600.0,,7019.0,14.0,3450.0,1.123,0.0,S-GIRDER
BM-B2F-0080,BEAM,B2F,DONG,135587.2,2248422.5,-9050.0,-5600.0,,5150.0,14.0,3450.0,0.824,0.0,S-GIRDER
BM-B2F-0081,BEAM,B2F,DONG,135750.7,2247947.9,-9050.0,-5600.0,,5062.2,14.0,3450.0,0.81,0.0,S-GIRDER
BM-B2F-0082,BEAM,B2F,DONG,118384.4,2250351.8,-9050.0,-5600.0,,35046.0,104.0,3450.0,5.607,0.0,S-GIRDER
BM-B2F-0083,BEAM,B2F,DONG,119403.9,2248329.7,-9050.0,-5600.0,,7650.0,104.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0084,BEAM,B2F,DONG,117414.1,2256310.4,-9050.0,-5600.0,,7800.0,104.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0085,BEAM,B2F,DONG,115351.7,2264582.1,-9050.0,-5600.0,,8250.0,104.0,3450.0,1.32,0.0,S-GIRDER
BM-B2F-0086,BEAM,B2F,DONG,113628.0,2271495.5,-9050.0,-5600.0,,5000.0,104.0,3450.0,0.8,0.0,S-GIRDER
BM-B2F-0087,BEAM,B2F,DONG,112249.1,2277026.2,-9050.0,-5600.0,,5400.0,104.0,3450.0,0.864,0.0,S-GIRDER
BM-B2F-0088,BEAM,B2F,DONG,110543.5,2283866.8,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0089,BEAM,B2F,DONG,108559.8,2291823.2,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0090,BEAM,B2F,DONG,124206.9,2249527.2,-9050.0,-5600.0,,7650.0,104.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0091,BEAM,B2F,DONG,124692.0,2249648.2,-9050.0,-5600.0,,7650.0,104.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0092,BEAM,B2F,DONG,131678.2,2251390.0,-9050.0,-5600.0,,7650.0,104.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0093,BEAM,B2F,DONG,132163.3,2251510.9,-9050.0,-5600.0,,7650.1,104.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0094,BEAM,B2F,DONG,137160.3,2252756.8,-9050.0,-5600.0,,7650.1,104.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0095,BEAM,B2F,DONG,137651.5,2252853.6,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0096,BEAM,B2F,DONG,127163.0,2254721.7,-9050.0,-5600.0,,7250.0,14.0,3450.0,1.16,0.0,S-GIRDER
BM-B2F-0097,BEAM,B2F,DONG,127259.7,2254230.5,-9050.0,-5600.0,,7200.0,14.0,3450.0,1.152,0.0,S-GIRDER
BM-B2F-0098,BEAM,B2F,DONG,133712.5,2256354.6,-9050.0,-5600.0,,5250.0,14.0,3450.0,0.84,0.0,S-GIRDER
BM-B2F-0099,BEAM,B2F,DONG,133736.5,2255845.3,-9050.0,-5600.0,,5150.0,14.0,3450.0,0.824,0.0,S-GIRDER
BM-B2F-0100,BEAM,B2F,DONG,147975.5,2259395.5,-9050.0,-5600.0,,23200.0,14.0,3450.0,3.712,0.0,S-GIRDER
BM-B2F-0101,BEAM,B2F,DONG,125155.1,2262775.1,-9050.0,-5600.0,,7249.9,14.0,3450.0,1.16,0.0,S-GIRDER
BM-B2F-0102,BEAM,B2F,DONG,125276.0,2262290.0,-9050.0,-5600.0,,7250.0,14.0,3450.0,1.16,0.0,S-GIRDER
BM-B2F-0103,BEAM,B2F,DONG,122217.1,2257507.9,-9050.0,-5600.0,,7800.0,104.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0104,BEAM,B2F,DONG,122702.2,2257628.8,-9050.0,-5600.0,,7800.0,104.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0105,BEAM,B2F,DONG,129736.9,2259382.8,-9050.0,-5600.0,,7800.0,104.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0106,BEAM,B2F,DONG,130222.0,2259503.7,-9050.0,-5600.0,,7800.0,104.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0107,BEAM,B2F,DONG,135316.1,2260773.8,-9050.0,-5600.0,,7800.0,104.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0108,BEAM,B2F,DONG,135801.2,2260894.8,-9050.0,-5600.0,,7800.0,104.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0109,BEAM,B2F,DONG,140577.4,2258066.2,-9050.0,-5600.0,,7900.0,14.0,3450.0,1.264,0.0,S-GIRDER
BM-B2F-0110,BEAM,B2F,DONG,138690.4,2265634.5,-9050.0,-5600.0,,7900.0,14.0,3450.0,1.264,0.0,S-GIRDER
BM-B2F-0111,BEAM,B2F,DONG,131825.5,2263922.9,-9050.0,-5600.0,,5250.0,14.0,3450.0,0.84,0.0,S-GIRDER
BM-B2F-0112,BEAM,B2F,DONG,143466.5,2262806.0,-9050.0,-5600.0,,7800.0,104.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0113,BEAM,B2F,DONG,143951.7,2262926.9,-9050.0,-5600.0,,7800.0,104.0,3450.0,1.248,0.0,S-GIRDER
BM-B2F-0114,BEAM,B2F,DONG,150115.6,2268483.2,-9050.0,-5600.0,,14650.0,14.0,3450.0,2.344,0.0,S-GIRDER
BM-B2F-0115,BEAM,B2F,DONG,152002.6,2260914.9,-9050.0,-5600.0,,14650.0,14.0,3450.0,2.344,0.0,S-GIRDER
BM-B2F-0116,BEAM,B2F,DONG,160012.6,2270950.8,-9050.0,-5600.0,,4750.0,14.0,3450.0,0.76,0.0,S-GIRDER
BM-B2F-0117,BEAM,B2F,DONG,160562.6,2281249.1,-9050.0,-5600.0,,1218.9,104.0,3450.0,0.195,0.0,S-GIRDER
