부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-B2F-0222,column,1.4376,0.0,9.405,0.0
COL-B2F-0223,column,0.3881,0.0,6.21,0.0
COL-B2F-0224,column,0.3881,0.0,6.21,0.0
COL-B2F-0225,column,1.4376,0.0,9.405,0.0
COL-B2F-0226,column,0.3881,0.0,6.21,0.0
COL-B2F-0227,column,0.3881,0.0,6.21,0.0
COL-B2F-0228,column,0.3881,0.0,6.21,0.0
COL-B2F-0229,column,0.3881,0.0,6.21,0.0
COL-B2F-0230,column,0.3881,0.0,6.21,0.0
COL-B2F-0231,column,0.3881,0.0,6.21,0.0
COL-B2F-0232,column,0.3881,0.0,6.21,0.0
COL-B2F-0233,column,0.3881,0.0,6.21,0.0
COL-B2F-0234,column,5.76,0.0,18.264,0.0
COL-B2F-0235,column,0.3881,0.0,6.21,0.0
COL-B2F-0236,column,4.242,0.0,15.394,0.0
COL-B2F-0237,column,1.4934,0.0,9.08,0.0
COL-B2F-0238,column,1.0005,0.0,7.452,0.0
COL-B2F-0239,column,0.6624,0.0,6.072,0.0
COL-B2F-0240,column,0.3814,0.0,4.616,0.0
COL-B2F-0241,column,0.1339,0.0,2.719,0.0
COL-B2F-0242,column,4.242,0.0,15.394,0.0
COL-B2F-0243,column,1.4934,0.0,9.08,0.0
COL-B2F-0244,column,0.3881,0.0,6.21,0.0
COL-B2F-0245,column,0.3881,0.0,6.21,0.0
COL-B2F-0246,column,1.4376,0.0,9.405,0.0
COL-B2F-0247,column,0.3881,0.0,6.21,0.0
COL-B2F-0248,column,0.3881,0.0,6.21,0.0
COL-B2F-0249,column,1.4376,0.0,9.405,0.0
COL-B2F-0250,column,0.3881,0.0,6.21,0.0
COL-B2F-0251,column,0.3881,0.0,6.21,0.0
COL-B2F-0252,column,1.4376,0.0,9.405,0.0
COL-B2F-0253,column,0.3881,0.0,6.21,0.0
COL-B2F-0254,column,0.3881,0.0,6.21,0.0
COL-B2F-0255,column,1.4376,0.0,9.405,0.0
COL-B2F-0256,column,0.3881,0.0,6.21,0.0
COL-B2F-0257,column,0.3881,0.0,6.21,0.0
COL-B2F-0258,column,1.4376,0.0,9.405,0.0
COL-B2F-0259,column,4.242,0.0,15.394,0.0
COL-B2F-0260,column,1.4934,0.0,9.08,0.0
COL-B2F-0261,column,1.0005,0.0,7.452,0.0
COL-B2F-0262,column,0.6624,0.0,6.072,0.0
COL-B2F-0263,column,0.3814,0.0,4.616,0.0
COL-B2F-0264,column,0.1339,0.0,2.719,0.0
COL-B2F-0265,column,4.242,0.0,15.394,0.0
COL-B2F-0266,column,1.4934,0.0,9.08,0.0
COL-B2F-0267,column,0.3881,0.0,6.21,0.0
COL-B2F-0268,column,0.3881,0.0,6.21,0.0
COL-B2F-0269,column,0.3881,0.0,6.21,0.0
COL-B2F-0270,column,0.3881,0.0,6.21,0.0
COL-B2F-0271,column,0.3881,0.0,6.21,0.0
COL-B2F-0272,column,0.3881,0.0,6.21,0.0
COL-B2F-0273,column,1.4376,0.0,9.405,0.0
COL-B2F-0274,column,0.3881,0.0,6.21,0.0
COL-B2F-0275,column,0.3881,0.0,6.21,0.0
COL-B2F-0276,column,0.3881,0.0,6.21,0.0
COL-B2F-0277,column,0.3881,0.0,6.21,0.0
COL-B2F-0278,column,0.3881,0.0,6.21,0.0
COL-B2F-0279,column,0.3881,0.0,6.21,0.0
COL-B2F-0280,column,0.3881,0.0,6.21,0.0
COL-B2F-0281,column,0.3881,0.0,6.21,0.0
COL-B2F-0282,column,0.3881,0.0,6.21,0.0
COL-B2F-0283,column,0.3881,0.0,6.21,0.0
COL-B2F-0284,column,0.3881,0.0,6.21,0.0
COL-B2F-0285,column,0.3881,0.0,6.21,0.0
COL-B2F-0286,column,1.4376,0.0,9.405,0.0
COL-B2F-0287,column,0.3881,0.0,6.21,0.0
COL-B2F-0288,column,0.3881,0.0,6.21,0.0
COL-B2F-0289,column,0.3881,0.0,6.21,0.0
COL-B2F-0290,column,0.3881,0.0,6.21,0.0
COL-B2F-0291,column,0.3881,0.0,6.21,0.0
COL-B2F-0292,column,0.3881,0.0,6.21,0.0
COL-B2F-0293,column,1.4376,0.0,9.405,0.0
COL-B2F-0294,column,0.3881,0.0,6.21,0.0
COL-B2F-0295,column,0.3881,0.0,6.21,0.0
COL-B2F-0296,column,1.4376,0.0,9.405,0.0
COL-B2F-0297,column,0.3881,0.0,6.21,0.0
COL-B2F-0298,column,0.3881,0.0,6.21,0.0
COL-B2F-0299,column,0.3881,0.0,6.21,0.0
COL-B2F-0300,column,0.3881,0.0,6.21,0.0
COL-B2F-0301,column,1.4376,0.0,9.405,0.0
COL-B2F-0302,column,0.3881,0.0,6.21,0.0
COL-B2F-0303,column,0.3881,0.0,6.21,0.0
COL-B2F-0304,column,0.3881,0.0,6.21,0.0
COL-B2F-0305,column,0.3881,0.0,6.21,0.0
COL-B2F-0306,column,0.3881,0.0,6.21,0.0
COL-B2F-0307,column,0.3881,0.0,6.21,0.0
COL-B2F-0308,column,1.4376,0.0,9.405,0.0
COL-B2F-0309,column,0.3881,0.0,6.21,0.0
COL-B2F-0310,column,0.3881,0.0,6.21,0.0
COL-B2F-0311,column,1.4376,0.0,9.405,0.0
COL-B2F-0312,column,0.3881,0.0,6.21,0.0
COL-B2F-0313,column,0.3881,0.0,6.21,0.0
COL-B2F-0314,column,1.4376,0.0,9.405,0.0
