부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-sheet_1-0147,column,1.12,0.0,8.4,0.0
COL-sheet_1-0148,column,1.12,0.0,8.4,0.0
COL-sheet_1-0149,column,1.12,0.0,8.4,0.0
COL-sheet_1-0150,column,1.12,0.0,8.4,0.0
COL-sheet_1-0151,column,1.12,0.0,8.4,0.0
COL-sheet_1-0152,column,1.12,0.0,8.4,0.0
COL-sheet_1-0153,column,1.12,0.0,8.4,0.0
COL-sheet_1-0154,column,1.12,0.0,8.4,0.0
COL-sheet_1-0155,column,1.12,0.0,8.4,0.0
COL-sheet_1-0156,column,1.12,0.0,8.4,0.0
COL-sheet_1-0157,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0158,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0159,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0160,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0161,column,1.12,0.0,8.4,0.0
COL-sheet_1-0162,column,1.12,0.0,8.4,0.0
COL-sheet_1-0163,column,1.12,0.0,8.4,0.0
COL-sheet_1-0164,column,1.12,0.0,8.4,0.0
COL-sheet_1-0165,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0166,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0167,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0168,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0169,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0170,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0171,column,1.12,0.0,8.4,0.0
COL-sheet_1-0172,column,1.12,0.0,8.4,0.0
COL-sheet_1-0173,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0174,column,1.12,0.0,8.4,0.0
COL-sheet_1-0175,column,1.12,0.0,8.4,0.0
COL-sheet_1-0176,column,1.12,0.0,8.4,0.0
COL-sheet_1-0177,column,1.12,0.0,8.4,0.0
COL-sheet_1-0178,column,1.12,0.0,8.4,0.0
COL-sheet_1-0179,column,1.12,0.0,8.4,0.0
COL-sheet_1-0180,column,1.12,0.0,8.4,0.0
COL-sheet_1-0181,column,1.12,0.0,8.4,0.0
COL-sheet_1-0182,column,1.12,0.0,8.4,0.0
COL-sheet_1-0183,column,1.12,0.0,8.4,0.0
COL-sheet_1-0184,column,1.12,0.0,8.4,0.0
COL-sheet_1-0185,column,1.12,0.0,8.4,0.0
COL-sheet_1-0186,column,1.12,0.0,8.4,0.0
COL-sheet_1-0187,column,1.12,0.0,8.4,0.0
COL-sheet_1-0188,column,1.12,0.0,8.4,0.0
COL-sheet_1-0189,column,1.12,0.0,8.4,0.0
COL-sheet_1-0190,column,1.12,0.0,8.4,0.0
COL-sheet_1-0191,column,1.12,0.0,8.4,0.0
COL-sheet_1-0192,column,1.12,0.0,8.4,0.0
COL-sheet_1-0193,column,1.12,0.0,8.4,0.0
COL-sheet_1-0194,column,1.12,0.0,8.4,0.0
COL-sheet_1-0195,column,1.12,0.0,8.4,0.0
COL-sheet_1-0196,column,1.12,0.0,8.4,0.0
COL-sheet_1-0197,column,1.12,0.0,8.4,0.0
COL-sheet_1-0198,column,1.12,0.0,8.4,0.0
COL-sheet_1-0199,column,1.12,0.0,8.4,0.0
COL-sheet_1-0200,column,1.12,0.0,8.4,0.0
COL-sheet_1-0201,column,1.12,0.0,8.4,0.0
COL-sheet_1-0202,column,1.12,0.0,8.4,0.0
COL-sheet_1-0203,column,1.12,0.0,8.4,0.0
COL-sheet_1-0204,column,1.12,0.0,8.4,0.0
COL-sheet_1-0205,column,1.12,0.0,8.4,0.0
COL-sheet_1-0206,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0207,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0208,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0209,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0210,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0211,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0212,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0213,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0214,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0215,column,1.12,0.0,8.4,0.0
COL-sheet_1-0216,column,1.12,0.0,8.4,0.0
COL-sheet_1-0217,column,1.12,0.0,8.4,0.0
COL-sheet_1-0218,column,1.12,0.0,8.4,0.0
COL-sheet_1-0219,column,1.12,0.0,8.4,0.0
COL-sheet_1-0220,column,1.12,0.0,8.4,0.0
COL-sheet_1-0221,column,1.12,0.0,8.4,0.0
COL-sheet_1-0222,column,1.12,0.0,8.4,0.0
COL-sheet_1-0223,column,1.12,0.0,8.4,0.0
COL-sheet_1-0224,column,1.12,0.0,8.4,0.0
COL-sheet_1-0225,column,1.12,0.0,8.4,0.0
COL-sheet_1-0226,column,1.12,0.0,8.4,0.0
COL-sheet_1-0227,column,1.12,0.0,8.4,0.0
COL-sheet_1-0228,column,1.12,0.0,8.4,0.0
COL-sheet_1-0229,column,1.12,0.0,8.4,0.0
COL-sheet_1-0230,column,1.12,0.0,8.4,0.0
COL-sheet_1-0231,column,1.12,0.0,8.4,0.0
COL-sheet_1-0232,column,1.12,0.0,8.4,0.0
COL-sheet_1-0233,column,1.12,0.0,8.4,0.0
COL-sheet_1-0234,column,1.12,0.0,8.4,0.0
COL-sheet_1-0235,column,1.12,0.0,8.4,0.0
COL-sheet_1-0236,column,1.12,0.0,8.4,0.0
COL-sheet_1-0237,column,1.12,0.0,8.4,0.0
COL-sheet_1-0238,column,1.12,0.0,8.4,0.0
COL-sheet_1-0239,column,1.12,0.0,8.4,0.0
COL-sheet_1-0240,column,1.12,0.0,8.4,0.0
COL-sheet_1-0241,column,1.12,0.0,8.4,0.0
COL-sheet_1-0242,column,1.12,0.0,8.4,0.0
COL-sheet_1-0243,column,1.12,0.0,8.4,0.0
COL-sheet_1-0244,column,1.12,0.0,8.4,0.0
COL-sheet_1-0245,column,1.12,0.0,8.4,0.0
COL-sheet_1-0246,column,1.12,0.0,8.4,0.0
COL-sheet_1-0247,column,1.12,0.0,8.4,0.0
COL-sheet_1-0248,column,1.12,0.0,8.4,0.0
COL-sheet_1-0249,column,1.12,0.0,8.4,0.0
COL-sheet_1-0250,column,1.12,0.0,8.4,0.0
COL-sheet_1-0251,column,1.12,0.0,8.4,0.0
COL-sheet_1-0252,column,1.12,0.0,8.4,0.0
COL-sheet_1-0253,column,1.12,0.0,8.4,0.0
COL-sheet_1-0254,column,1.12,0.0,8.4,0.0
COL-sheet_1-0255,column,1.12,0.0,8.4,0.0
COL-sheet_1-0256,column,1.12,0.0,8.4,0.0
COL-sheet_1-0257,column,1.12,0.0,8.4,0.0
COL-sheet_1-0258,column,1.12,0.0,8.4,0.0
COL-sheet_1-0259,column,1.12,0.0,8.4,0.0
COL-sheet_1-0260,column,1.12,0.0,8.4,0.0
COL-sheet_1-0261,column,1.12,0.0,8.4,0.0
COL-sheet_1-0262,column,1.12,0.0,8.4,0.0
COL-sheet_1-0263,column,1.12,0.0,8.4,0.0
COL-sheet_1-0264,column,1.12,0.0,8.4,0.0
COL-sheet_1-0265,column,1.12,0.0,8.4,0.0
COL-sheet_1-0266,column,1.12,0.0,8.4,0.0
COL-sheet_1-0267,column,1.12,0.0,8.4,0.0
COL-sheet_1-0268,column,1.12,0.0,8.4,0.0
COL-sheet_1-0269,column,1.12,0.0,8.4,0.0
COL-sheet_1-0270,column,1.12,0.0,8.4,0.0
COL-sheet_1-0271,column,1.12,0.0,8.4,0.0
COL-sheet_1-0272,column,1.12,0.0,8.4,0.0
COL-sheet_1-0273,column,1.12,0.0,8.4,0.0
COL-sheet_1-0274,column,1.12,0.0,8.4,0.0
COL-sheet_1-0275,column,1.12,0.0,8.4,0.0
COL-sheet_1-0276,column,1.12,0.0,8.4,0.0
COL-sheet_1-0277,column,1.12,0.0,8.4,0.0
COL-sheet_1-0278,column,1.12,0.0,8.4,0.0
COL-sheet_1-0279,column,1.12,0.0,8.4,0.0
COL-sheet_1-0280,column,1.12,0.0,8.4,0.0
COL-sheet_1-0281,column,1.12,0.0,8.4,0.0
COL-sheet_1-0282,column,1.12,0.0,8.4,0.0
COL-sheet_1-0283,column,1.12,0.0,8.4,0.0
COL-sheet_1-0284,column,1.12,0.0,8.4,0.0
COL-sheet_1-0285,column,1.12,0.0,8.4,0.0
COL-sheet_1-0286,column,1.12,0.0,8.4,0.0
COL-sheet_1-0287,column,1.12,0.0,8.4,0.0
COL-sheet_1-0288,column,1.12,0.0,8.4,0.0
COL-sheet_1-0289,column,1.12,0.0,8.4,0.0
COL-sheet_1-0290,column,1.12,0.0,8.4,0.0
COL-sheet_1-0291,column,1.12,0.0,8.4,0.0
COL-sheet_1-0292,column,1.12,0.0,8.4,0.0
COL-sheet_1-0293,column,1.12,0.0,8.4,0.0
COL-sheet_1-0294,column,1.12,0.0,8.4,0.0
COL-sheet_1-0295,column,1.12,0.0,8.4,0.0
COL-sheet_1-0296,column,1.12,0.0,8.4,0.0
COL-sheet_1-0297,column,1.12,0.0,8.4,0.0
COL-sheet_1-0298,column,1.12,0.0,8.4,0.0
COL-sheet_1-0299,column,1.12,0.0,8.4,0.0
COL-sheet_1-0300,column,1.12,0.0,8.4,0.0
COL-sheet_1-0301,column,1.12,0.0,8.4,0.0
COL-sheet_1-0302,column,1.12,0.0,8.4,0.0
COL-sheet_1-0303,column,1.12,0.0,8.4,0.0
COL-sheet_1-0304,column,1.12,0.0,8.4,0.0
COL-sheet_1-0305,column,1.12,0.0,8.4,0.0
COL-sheet_1-0306,column,1.12,0.0,8.4,0.0
COL-sheet_1-0307,column,1.12,0.0,8.4,0.0
COL-sheet_1-0308,column,1.12,0.0,8.4,0.0
COL-sheet_1-0309,column,1.12,0.0,8.4,0.0
COL-sheet_1-0310,column,1.12,0.0,8.4,0.0
COL-sheet_1-0311,column,1.12,0.0,8.4,0.0
COL-sheet_1-0312,column,1.12,0.0,8.4,0.0
COL-sheet_1-0313,column,1.12,0.0,8.4,0.0
COL-sheet_1-0314,column,1.12,0.0,8.4,0.0
COL-sheet_1-0315,column,1.12,0.0,8.4,0.0
COL-sheet_1-0316,column,1.12,0.0,8.4,0.0
COL-sheet_1-0317,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0318,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0319,column,1.7752,0.0,10.178,0.0
