부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
WL-S30-007-0003,wall,0.1855,0.927,1.855,0.265
WL-S30-007-0004,wall,0.0,0.0,0.0,0.0
WL-S30-007-0005,wall,0.0,0.0,0.0,0.0
WL-S30-007-0006,wall,0.0,0.0,0.0,0.0
WL-S30-007-0007,wall,0.0697,0.35,0.7,0.1
WL-S30-007-0008,wall,0.854,0.7,1.4,0.2
WL-S30-007-0009,wall,0.0,0.0,0.0,0.0
WL-S30-007-0010,wall,0.392,0.35,0.7,0.1
WL-S30-007-0011,wall,0.0542,0.542,1.085,0.155
WL-S30-007-0012,wall,0.0697,0.35,0.7,0.1
WL-S30-007-0013,wall,0.0,0.0,0.0,0.0
WL-S30-007-0014,wall,0.0,0.0,0.0,0.0
WL-S30-007-0015,wall,7.7883,9.748,19.495,2.785
WL-S30-007-0016,wall,0.0,0.0,0.0,0.0
WL-S30-007-0017,wall,0.0,0.0,0.0,0.0
WL-S30-007-0018,wall,0.0,0.0,0.0,0.0
WL-S30-007-0019,wall,0.0,0.0,0.0,0.0
WL-S30-007-0020,wall,0.0,0.0,0.0,0.0
WL-S30-007-0021,wall,0.0,0.0,0.0,0.0
WL-S30-007-0022,wall,0.861,4.305,8.61,1.23
WL-S30-007-0023,wall,1.323,6.615,13.23,1.89
WL-S30-007-0024,wall,0.0,0.0,0.0,0.0
WL-S30-007-0025,wall,0.0665,0.332,0.665,0.095
WL-S30-007-0026,wall,0.455,2.275,4.55,0.65
WL-S30-007-0027,wall,0.91,4.55,9.1,1.3
WL-S30-007-0028,wall,0.938,4.69,9.38,1.34
WL-S30-007-0029,wall,0.707,3.535,7.07,1.01
WL-S30-007-0030,wall,1.239,6.195,12.39,1.77
WL-S30-007-0031,wall,0.0,0.0,0.0,0.0
WL-S30-007-0032,wall,2.0882,6.16,12.32,1.76
WL-S30-007-0033,wall,0.0,0.0,0.0,0.0
WL-S30-007-0034,wall,0.0697,0.35,0.7,0.1
WL-S30-007-0035,wall,0.0,0.0,0.0,0.0
WL-S30-007-0036,wall,0.07,0.35,0.7,0.1
WL-S30-007-0037,wall,0.7133,0.7,1.4,0.2
WL-S30-007-0038,wall,0.0193,0.193,0.385,0.055
WL-S30-007-0039,wall,2.5626,6.422,12.845,1.835
WL-S30-007-0040,wall,0.0,0.0,0.0,0.0
WL-S30-007-0041,wall,0.0,0.0,0.0,0.0
WL-S30-007-0042,wall,0.0,0.0,0.0,0.0
WL-S30-007-0043,wall,0.0383,0.193,0.385,0.055
WL-S30-007-0044,wall,0.714,0.7,1.4,0.2
WL-S30-007-0045,wall,0.0,0.0,0.0,0.0
WL-S30-007-0046,wall,0.0252,0.21,0.42,0.06
WL-S30-007-0047,wall,0.9345,4.673,9.345,1.335
WL-S30-007-0048,wall,0.7098,5.915,11.83,1.69
WL-S30-007-0049,wall,0.1393,0.7,1.4,0.2
WL-S30-007-0050,wall,0.0,0.0,0.0,0.0
WL-S30-007-0051,wall,0.0383,0.192,0.385,0.055
WL-S30-007-0052,wall,0.07,0.35,0.7,0.1
WL-S30-007-0053,wall,0.714,3.57,7.14,1.02
WL-S30-007-0054,wall,0.595,2.975,5.95,0.85
WL-S30-007-0055,wall,2.66,2.8,5.6,0.8
WL-S30-007-0056,wall,1.295,6.475,12.95,1.85
WL-S30-007-0057,wall,0.0805,0.403,0.805,0.115
WL-S30-007-0058,wall,0.714,0.7,1.4,0.2
WL-S30-007-0059,wall,1.26,6.3,12.6,1.8
WL-S30-007-0060,wall,0.5145,2.572,5.145,0.735
WL-S30-007-0061,wall,0.644,0.7,1.4,0.2
WL-S30-007-0062,wall,0.854,0.7,1.4,0.2
WL-S30-007-0063,wall,1.19,5.95,11.9,1.7
WL-S30-007-0064,wall,0.588,2.94,5.88,0.84
WL-S30-007-0065,wall,0.994,4.97,9.94,1.42
WL-S30-007-0066,wall,0.28,1.4,2.8,0.4
WL-S30-007-0067,wall,0.289,1.452,2.905,0.415
WL-S30-007-0068,wall,0.854,0.7,1.4,0.2
